model,size,vendor,accuracy,accuracy_rank,interactive_s_at_slo,interactive_rank,standard_s_at_slo,standard_rank,batch_s_at_slo,batch_rank,p95_latency_ms
Gemma-2-9B,9B,Google,0.8218,1,0.0,4,0.0,9,0.5073,10,92551.7
Ministral-8B,8B,Mistral,0.8182,2,0.0,9,0.0724,6,0.5155,9,70246.5
Llama-3.1-8B,8B,Meta,0.8067,3,0.0,7,0.04,7,0.5767,6,50944.1
Qwen3-4B,4B,Alibaba,0.8024,4,0.0003,2,0.1412,5,0.6464,3,47661.0
Mistral-7B-v0.3,7B,Mistral,0.7827,5,0.0,10,0.0,12,0.5533,7,56089.9
Llama-3.2-3B,3B,Meta,0.7703,6,0.0,8,0.4085,3,0.7376,1,26757.5
GPT-OSS-20B,20B,OpenAI,0.7582,7,0.0,6,0.0,11,0.443,11,72568.2
Yi-1.5-6B,6B,01.AI,0.7552,8,0.0,13,0.0,13,0.5382,8,54567.0
Qwen2.5-3B,3B,Alibaba,0.7497,9,0.0,12,0.4261,2,0.717,2,26858.5
Gemma-3-12B,12B,Google,0.7239,10,0.0,5,0.0,10,0.3927,12,134325.3
Phi-3-mini,3.8B,Microsoft,0.7088,11,0.0,11,0.2558,4,0.5852,5,60153.9
Falcon-Mamba-7B,7B,TII,0.6642,12,0.0,3,0.0,8,0.2755,13,77052.2
Llama-3.2-1B,1B,Meta,0.6352,13,0.0633,1,0.4739,1,0.6352,4,9473.0
